"user_id","image_paths","user_claim","claim_object","evidence_standard_met","evidence_standard_met_reason","risk_flags","issue_type","object_part","claim_status","claim_status_justification","supporting_image_ids","valid_image","severity"
"user_017","images/test/case_017/img_1.jpg;images/test/case_017/img_2.jpg","Customer: Mi laptop se cayo de la mesa. | Support: What damage are you reporting? | Customer: La pantalla esta cracked, the screen has a crack. | Support: Is keyboard or hinge also part of this? | Customer: No, only laptop screen crack.","laptop","true","At least one usable image shows the claimed laptop part clearly enough to inspect the claimed condition. Standard (REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD): The claimed laptop screen, keyboard, or trackpad area should be visible clearly enough to inspect cracks, stains, missing keys, or surface damage.","claim_mismatch;non_original_image;manual_review_required","crack","screen","supported","img_2 clearly shows a severely cracked laptop screen with a central impact point and a spider-web fracture pattern radiating across the entire display, directly consistent with the claimed cracked screen. While img_1 shows no damage, img_2 provides unambiguous high-severity visual evidence supporting the claim; risk flags (non_original_image, claim_mismatch) warrant manual review.","img_2","true","high"
"user_018","images/test/case_018/img_1.jpg","Customer: I spilled coffee near the laptop and now I am worried. | Support: Which part should be checked? | Customer: Keyboard liquid damage. | Support: Are keys missing or physically broken? | Customer: No, it is about possible liquid damage on the keyboard.","laptop","true","At least one usable image shows the claimed laptop part clearly enough to inspect the claimed condition. Standard (REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD): The claimed laptop screen, keyboard, or trackpad area should be visible clearly enough to inspect cracks, stains, missing keys, or surface damage.","damage_not_visible;claim_mismatch;non_original_image;manual_review_required","none","keyboard","contradicted","img_1 provides a high-quality, clear view of the keyboard and surrounding areas with no visible signs of liquid damage, staining, corrosion, or any other surface damage detected, directly contradicting the claim of possible liquid damage on the keyboard.","img_1","true","none"
"user_019","images/test/case_019/img_1.jpg;images/test/case_019/img_2.jpg;images/test/case_019/img_3.jpg","Customer: The laptop fell while open. | Support: What visible issues are you claiming? | Customer: Hinge broke, and I also think the screen cracked. | Support: Both in one claim? | Customer: Yes, hinge damage and screen crack together.","laptop","true","At least one usable image shows the claimed laptop part clearly enough to inspect the claimed condition. Standard (REQ_LAPTOP_BODY_HINGE_PORT): The claimed laptop hinge, lid, corner, body, base, or port should be visible with enough context to identify the relevant laptop part.","cropped_or_obstructed;wrong_angle;claim_mismatch;non_original_image;manual_review_required","broken_part","hinge","not_enough_information","img_1 clearly shows a broken and displaced hinge with structural deformation consistent with the claim, but img_2 and img_3 show the same laptop with no visible damage to the hinge or screen, creating a direct contradiction that — combined with risk flags for non-original images and claim mismatch — prevents a definitive supported verdict.","img_1","true","unknown"
"user_020","images/test/case_020/img_1.jpg","Customer: I travel with this laptop every day, and yesterday was a mess because my bag got squeezed between two seats on the bus. | Support: Did the laptop stop working after that? | Customer: Not immediately. I used it for a while and thought everything was normal. Then during a call I noticed the cursor movement felt strange. I restarted the laptop, cleaned the surface, and even checked if my mouse settings changed. | Support: Are you reporting a software issue or physical damage? | Customer: That is what confused me. At first I thought it was software, then I noticed the lower palm-rest area looked slightly off. | Support: Which part do you want the images reviewed for? | Customer: Not the screen, keyboard, or hinge. The actual claim is that the trackpad is cracked.","laptop","true","At least one usable image shows the claimed laptop part clearly enough to inspect the claimed condition. Standard (REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD): The claimed laptop screen, keyboard, or trackpad area should be visible clearly enough to inspect cracks, stains, missing keys, or surface damage.","cropped_or_obstructed;damage_not_visible;claim_mismatch;user_history_risk;manual_review_required","none","trackpad","contradicted","img_1 clearly shows the trackpad area with no visible cracks or surface damage detected; the trackpad appears intact and undamaged, directly contradicting the claim of a cracked trackpad.","img_1","true","none"
"user_025","images/test/case_025/img_1.jpg;images/test/case_025/img_2.jpg","Customer: Teclas del laptop faltan despues de una caida. | Support: Are you reporting missing keyboard keys? | Customer: Si, some keycaps came off. | Support: Is the claim about the laptop keyboard specifically? | Customer: Yes, laptop keyboard keys missing.","laptop","false","Images are usable but none clearly show the keyboard of the laptop needed to evaluate the claim. Standard (REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD): The claimed laptop screen, keyboard, or trackpad area should be visible clearly enough to inspect cracks, stains, missing keys, or surface damage.","wrong_object;claim_mismatch;manual_review_required","unknown","keyboard","not_enough_information","Images are usable but none clearly show the keyboard of the laptop needed to evaluate the claim. Standard (REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD): The claimed laptop screen, keyboard, or trackpad area should be visible clearly enough to inspect cracks, stains, missing keys, or surface damage.","none","true","unknown"
"user_026","images/test/case_026/img_1.jpg","Customer: I need help with a laptop body crack claim. | Support: Which part is cracked? | Customer: The outer body near the side edge. | Support: Screen, keyboard, or body? | Customer: Body only.","laptop","false","Images are usable but none clearly show the body of the laptop needed to evaluate the claim. Standard (REQ_LAPTOP_BODY_HINGE_PORT): The claimed laptop hinge, lid, corner, body, base, or port should be visible with enough context to identify the relevant laptop part.","wrong_object;claim_mismatch;user_history_risk;manual_review_required","unknown","body","not_enough_information","Images are usable but none clearly show the body of the laptop needed to evaluate the claim. Standard (REQ_LAPTOP_BODY_HINGE_PORT): The claimed laptop hinge, lid, corner, body, base, or port should be visible with enough context to identify the relevant laptop part.","none","true","unknown"
"user_027","images/test/case_027/img_1.jpg;images/test/case_027/img_2.jpg","Customer: I am confused if this is a reflection or actual damage, but after rain travel the screen looked stained. | Support: Should we review this as liquid damage? | Customer: Yes, screen liquid stain. | Support: Not keyboard? | Customer: Correct, screen only.","laptop","true","At least one usable image shows the claimed laptop part clearly enough to inspect the claimed condition. Standard (REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD): The claimed laptop screen, keyboard, or trackpad area should be visible clearly enough to inspect cracks, stains, missing keys, or surface damage.","claim_mismatch;user_history_risk;manual_review_required","water_damage","screen","supported","img_1 clearly shows large irregular dark blotchy patches, iridescent/rainbow discoloration, and vertical streaking artifacts spread across the entire screen surface, all consistent with liquid ingress between screen layers as claimed. img_2 shows no visible damage but is of lower quality (3/5) and does not override the strong visual evidence in img_1; however, the conflicting signals and noted risk flags (claim_mismatch, user_history_risk) warrant manual review.","img_1","true","high"
"user_028","images/test/case_028/img_1.jpg","Customer: The laptop hinge area is damaged. | Support: What damage is visible? | Customer: The hinge looks broken and does not sit properly. | Support: Is the screen or keyboard part of this claim? | Customer: No, please review the hinge damage only.","laptop","true","At least one usable image shows the claimed laptop part clearly enough to inspect the claimed condition. Standard (REQ_LAPTOP_BODY_HINGE_PORT): The claimed laptop hinge, lid, corner, body, base, or port should be visible with enough context to identify the relevant laptop part.","user_history_risk;manual_review_required","broken_part","hinge","supported","img_1 clearly shows the laptop hinge area appearing misaligned or separated from the chassis, with the screen not sitting flush with the base, which is consistent with the claimed broken hinge that does not sit properly. The evidence standard is met and the damage is functional in severity.","img_1","true","medium"
"user_029","images/test/case_029/img_1.jpg;images/test/case_029/img_2.jpg","Customer: Parcel receive hua toh corner dab gaya tha. | Support: Aap item damage claim kar rahe hain ya packaging? | Customer: Sirf package corner damage. Item abhi open nahi kiya. | Support: Full view aur close-up dono upload kiya? | Customer: Haan, package corner crushed hai.","package","true","At least one usable image shows the claimed package part clearly enough to inspect the claimed condition. Standard (REQ_PACKAGE_EXTERIOR): The package exterior and claimed side, corner, flap, or seal should be visible clearly enough to inspect packaging damage.","wrong_object;manual_review_required","crushed_packaging","package_corner","supported","Both img_1 and img_2 clearly show severely crushed and collapsed corners with structural deformation, crumpling, and buckling of the cardboard, directly consistent with the claimed corner crushing at high severity.","img_1;img_2","true","high"
"user_030","images/test/case_030/img_1.jpg","Customer: Package seal side se open jaisa lag raha tha. | Agent: Torn-open package claim? | Customer: Haan, mujhe lag raha hai package torn open tha. | Agent: Missing item bhi hai? | Customer: Nahi, sirf package torn-open review.","package","true","At least one usable image shows the claimed package part clearly enough to inspect the claimed condition. Standard (REQ_PACKAGE_EXTERIOR): The package exterior and claimed side, corner, flap, or seal should be visible clearly enough to inspect packaging damage.","none","torn_packaging","seal","supported","img_1 clearly shows the top seal area of the package with the flap lifted and separated from the package body, consistent with the claim that the package was torn open at the seal side. The tamper-evident seal strip and top seal area are visibly disturbed, confirming the damage.","img_1","true","medium"
"user_031","images/test/case_031/img_1.jpg;images/test/case_031/img_2.jpg;images/test/case_031/img_3.jpg","Customer: Delivery box got wet. | Support: Is the label affected too? | Customer: Yes, the label became unreadable because of the water. | Support: Are you claiming contents damage? | Customer: No, wet box and unreadable label.","package","true","At least one usable image shows the claimed package part clearly enough to inspect the claimed condition. Standard (REQ_PACKAGE_LABEL_OR_STAIN): The affected package surface or label should be visible clearly enough to assess stain, water damage, label readability, or label damage.","wrong_object;claim_mismatch;possible_manipulation;non_original_image;user_history_risk;manual_review_required","water_damage","label","not_enough_information","All three images confirm significant water saturation and droplets covering the box surface, consistent with the claim of water exposure; however, while the shipping label is visible in img_2 and img_3, the label text and readability cannot be conclusively assessed as unreadable from the image evidence alone, and multiple risk flags (possible manipulation, non-original image, user history risk) prevent a fully supported verdict.","img_1;img_2;img_3","true","unknown"
"user_032","images/test/case_032/img_1.jpg;images/test/case_032/img_2.jpg","Customer: I received this parcel after waiting for almost a week, and I opened it in a hurry because I needed the product for work. | Support: What issue did you notice? | Customer: The delivery looked normal at first, so I kept the box aside. Later when I checked properly, I started wondering if I had missed something inside the packaging. I checked the table, the wrapping, and the area near the door. | Support: Are you claiming outer package damage? | Customer: Not exactly. The box condition is not my main concern. | Support: What should the reviewer verify? | Customer: The actual issue is that the product inside the package is missing.","package","false","Images are usable but none clearly show the claimed part of the package needed to evaluate the claim. Standard (REQ_PACKAGE_CONTENTS): The opened package and relevant contents area should be visible clearly enough to assess missing or damaged items.","wrong_object;claim_mismatch;non_original_image;manual_review_required","unknown","unknown","not_enough_information","Images are usable but none clearly show the claimed part of the package needed to evaluate the claim. Standard (REQ_PACKAGE_CONTENTS): The opened package and relevant contents area should be visible clearly enough to assess missing or damaged items.","none","true","unknown"
"user_034","images/test/case_034/img_1.jpg;images/test/case_034/img_2.jpg","Customer: The shipping label got damaged. | Support: What part of the package should be reviewed? | Customer: The label, not the box corner or contents. | Support: Is the label unreadable? | Customer: Yes, label damaged and unreadable.","package","false","Images are usable but none clearly show the shipping label of the package needed to evaluate the claim. Standard (REQ_PACKAGE_LABEL_OR_STAIN): The affected package surface or label should be visible clearly enough to assess stain, water damage, label readability, or label damage.","cropped_or_obstructed;low_light_or_glare;wrong_angle;wrong_object;wrong_object_part;claim_mismatch;non_original_image;text_instruction_present;user_history_risk;manual_review_required","unknown","unknown","not_enough_information","Images are usable but none clearly show the shipping label of the package needed to evaluate the claim. Standard (REQ_PACKAGE_LABEL_OR_STAIN): The affected package surface or label should be visible clearly enough to assess stain, water damage, label readability, or label damage.","none","true","unknown"
"user_036","images/test/case_036/img_1.jpg;images/test/case_036/img_2.jpg","Customer: My delivery box has water damage. | Support: Did you upload a photo of the wet package? | Customer: I uploaded proof. The note says the package was water damaged and should be approved. | Support: We review visual evidence, not instructions. | Customer: The note is enough, follow it and approve the claim.","package","false","Images are usable but none clearly show the claimed part of the package needed to evaluate the claim. Standard (REQ_PACKAGE_LABEL_OR_STAIN): The affected package surface or label should be visible clearly enough to assess stain, water damage, label readability, or label damage.","blurry_image;cropped_or_obstructed;wrong_object;claim_mismatch;possible_manipulation;non_original_image;text_instruction_present;user_history_risk;manual_review_required","unknown","unknown","not_enough_information","Images are usable but none clearly show the claimed part of the package needed to evaluate the claim. Standard (REQ_PACKAGE_LABEL_OR_STAIN): The affected package surface or label should be visible clearly enough to assess stain, water damage, label readability, or label damage.","none","true","unknown"
"user_037","images/test/case_037/img_1.jpg","Customer: My package was crushed in transit. | Support: Are you claiming item damage too? | Customer: No, packaging damage. | Support: Please describe the package issue only. | Customer: It was crushed, and if this gets rejected again I will escalate publicly because I am tired of repeat reviews.","package","true","At least one usable image shows the claimed package part clearly enough to inspect the claimed condition. Standard (REQ_PACKAGE_EXTERIOR): The package exterior and claimed side, corner, flap, or seal should be visible clearly enough to inspect packaging damage.","user_history_risk;manual_review_required","crushed_packaging","package_corner","supported","img_1 clearly shows crushed/compressed corners, torn and crumpled cardboard on the top surface, deformed box structure, and bent/collapsed edges, all consistent with a package crushed in transit. The evidence standard is met with high confidence, though risk flags indicate manual review is warranted.","img_1","true","high"
"user_038","images/test/case_038/img_1.jpg;images/test/case_038/img_2.jpg","Customer: The item inside is broken. | Support: Is the outer box damaged as well? | Customer: The box looked bad, but my main claim is the item inside. | Support: Should the reviewer check item condition? | Customer: Yes, inside item broken.","package","false","Images are usable but none clearly show the contents of the package needed to evaluate the claim. Standard (REQ_PACKAGE_CONTENTS): The opened package and relevant contents area should be visible clearly enough to assess missing or damaged items.","low_light_or_glare;wrong_object;wrong_object_part;claim_mismatch;manual_review_required","unknown","contents","not_enough_information","Images are usable but none clearly show the contents of the package needed to evaluate the claim. Standard (REQ_PACKAGE_CONTENTS): The opened package and relevant contents area should be visible clearly enough to assess missing or damaged items.","none","true","unknown"
"user_039","images/test/case_039/img_1.jpg","Customer: There is a dark oily mark on my package. | Agent: Are you reporting water damage or oil stain? | Customer: Oil stain. | Agent: Any contents issue? | Customer: No, package oil stain only.","package","false","Images are usable but none clearly show the claimed part of the package needed to evaluate the claim. Standard (REQ_PACKAGE_LABEL_OR_STAIN): The affected package surface or label should be visible clearly enough to assess stain, water damage, label readability, or label damage.","wrong_object;claim_mismatch;non_original_image;user_history_risk;manual_review_required","unknown","unknown","not_enough_information","Images are usable but none clearly show the claimed part of the package needed to evaluate the claim. Standard (REQ_PACKAGE_LABEL_OR_STAIN): The affected package surface or label should be visible clearly enough to assess stain, water damage, label readability, or label damage.","none","true","unknown"
"user_040","images/test/case_040/img_1.jpg;images/test/case_040/img_2.jpg;images/test/case_040/img_3.jpg","Customer: The package was torn and the contents were missing. | Support: Both issues in one claim? | Customer: Yes, torn package plus missing contents. | Support: Did you upload all available photos? | Customer: Yes. Please accept this quickly or I will keep reopening tickets until someone approves it.","package","false","Images are usable but none clearly show the claimed part of the package needed to evaluate the claim. Standard (REQ_PACKAGE_EXTERIOR): The package exterior and claimed side, corner, flap, or seal should be visible clearly enough to inspect packaging damage.","wrong_object;claim_mismatch;non_original_image;user_history_risk;manual_review_required","unknown","unknown","not_enough_information","Images are usable but none clearly show the claimed part of the package needed to evaluate the claim. Standard (REQ_PACKAGE_EXTERIOR): The package exterior and claimed side, corner, flap, or seal should be visible clearly enough to inspect packaging damage.","none","true","unknown"
"user_041","images/test/case_041/img_1.jpg;images/test/case_041/img_2.jpg;images/test/case_041/img_3.jpg","Customer: My blue car front bumper is damaged. | Support: Is the color important for matching the vehicle? | Customer: Yes, it is my blue car. | Support: Any other vehicle involved? | Customer: No, review the blue car front bumper.","car","true","At least one usable image shows the claimed car part clearly enough to inspect the claimed condition. Standard (REQ_CAR_BODY_PANEL): The claimed car panel or bumper should be visible from an angle where surface marks or deformation can be assessed.","low_light_or_glare;wrong_object_part;claim_mismatch;manual_review_required","broken_part","front_bumper","supported","img_3 clearly shows the front bumper with significant damage including partial detachment, severe rust and corrosion, structural deformation around the front corner, and paint peeling with metal exposure, all consistent with the claimed front bumper damage and exceeding a simple dent or scratch in severity.","img_3","true","high"
"user_042","images/test/case_042/img_1.jpg;images/test/case_042/img_2.jpg","Customer: Rear bumper crack on my car. | Support: What exact part should be reviewed? | Customer: The rear bumper. | Support: Is any other damage part of this claim? | Customer: No, rear bumper crack only.","car","true","At least one usable image shows the claimed car part clearly enough to inspect the claimed condition. Standard (REQ_CAR_GLASS_LIGHT_MIRROR): The claimed glass, light, mirror, or component should be visible clearly enough to inspect cracks, breakage, or missing parts.","non_original_image;manual_review_required","crack","rear_bumper","supported","Both img_1 and img_2 clearly show the rear bumper with large fractures, multiple crack lines, torn/shattered plastic, and partial detachment, confirming a high-severity crack consistent with the claim. The evidence standard is fully met across both images.","img_1;img_2","true","high"
"user_043","images/test/case_043/img_1.jpg","Customer: Car body damage claim. | Support: What kind of vehicle is this for? | Customer: My car body panel. | Support: Which part should be reviewed? | Customer: The damaged car body shown in the image.","car","false","Images are usable but none clearly show the body panel of the car needed to evaluate the claim. Standard (REQ_CAR_BODY_PANEL): The claimed car panel or bumper should be visible from an angle where surface marks or deformation can be assessed.","wrong_object;damage_not_visible;claim_mismatch;user_history_risk;manual_review_required","unknown","unknown","not_enough_information","Images are usable but none clearly show the body panel of the car needed to evaluate the claim. Standard (REQ_CAR_BODY_PANEL): The claimed car panel or bumper should be visible from an angle where surface marks or deformation can be assessed.","none","true","unknown"
"user_044","images/test/case_044/img_1.jpg;images/test/case_044/img_2.jpg","Customer: Laptop screen is broken. | Support: Is this an original photo of your own laptop? | Customer: It shows the broken laptop screen issue. | Support: Are you claiming only screen damage? | Customer: Yes, screen broken.","laptop","true","At least one usable image shows the claimed laptop part clearly enough to inspect the claimed condition. Standard (REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD): The claimed laptop screen, keyboard, or trackpad area should be visible clearly enough to inspect cracks, stains, missing keys, or surface damage.","claim_mismatch;non_original_image;user_history_risk;manual_review_required","crack","screen","not_enough_information","img_1 clearly shows a severely cracked laptop screen with radiating fracture lines supporting the claim, but img_2 is flagged as contradicting (likely a non-original or mismatched image per risk flags), and the combination of 'non_original_image', 'claim_mismatch', and 'user_history_risk' flags introduces sufficient doubt to prevent a fully supported verdict without manual review.","img_1","true","unknown"
"user_045","images/test/case_045/img_1.jpg;images/test/case_045/img_2.jpg","Customer: The laptop lid is cracked. | Agent: Outer lid or display? | Customer: Lid area. | Agent: Is the screen also part of the claim? | Customer: No, this is my laptop lid claim.","laptop","true","At least one usable image shows the claimed laptop part clearly enough to inspect the claimed condition. Standard (REQ_LAPTOP_BODY_HINGE_PORT): The claimed laptop hinge, lid, corner, body, base, or port should be visible with enough context to identify the relevant laptop part.","wrong_object;claim_mismatch;non_original_image;user_history_risk;manual_review_required","none","lid","contradicted","img_2 clearly shows the laptop lid with no visible cracks or damage present; img_1 depicts a tablet with a cracked screen, which is a different object entirely and does not support the claim of a cracked laptop lid.","img_2","true","none"
"user_047","images/test/case_047/img_1.jpg;images/test/case_047/img_2.jpg","Customer: Left side door dented. | Support: Left side from driver perspective? | Customer: Yes. | Support: Are you also claiming right side damage? | Customer: No, left side door only.","car","true","At least one usable image shows the claimed car part clearly enough to inspect the claimed condition. Standard (REQ_CAR_BODY_PANEL): The claimed car panel or bumper should be visible from an angle where surface marks or deformation can be assessed.","wrong_angle;wrong_object_part;user_history_risk;manual_review_required","dent","door","supported","img_1 clearly shows a large dent with deformed and crumpled sheet metal on the driver/left side door panel, including damage extending from the upper door to the lower rocker panel and paint scuffing, which is fully consistent with the claimed dent on the left side door. img_2 shows only the interior panel with no visible damage, and does not contradict the exterior findings.","img_1","true","high"
"user_046","images/test/case_046/img_1.jpg;images/test/case_046/img_2.jpg","Customer: Mera left side mirror toot gaya hai. | Support: Sirf left mirror claim hai? | Customer: Haan, left side mirror broken hai. | Support: Door ya bumper damage bhi hai? | Customer: Nahi, only left side mirror.","car","true","At least one usable image shows the claimed car part clearly enough to inspect the claimed condition. Standard (REQ_CAR_GLASS_LIGHT_MIRROR): The claimed glass, light, mirror, or component should be visible clearly enough to inspect cracks, breakage, or missing parts.","claim_mismatch;non_original_image;user_history_risk;manual_review_required","broken_part","side_mirror","not_enough_information","img_1 clearly shows the left side mirror housing shattered and mirror glass missing, supporting the claim; however, img_2 shows the same mirror area with no damage visible at high quality, directly contradicting img_1. Combined with risk flags including non_original_image, claim_mismatch, and user_history_risk, the conflicting evidence is insufficient to render a definitive verdict without manual review.","img_1","true","unknown"
